"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2011.0027",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0055",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0082",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0110",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0137",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0164",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0192",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0219",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0247",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0274",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0301",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0329",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0356",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0384",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0411",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0438",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0466",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0493",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0521",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0548",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0575",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0603",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0630",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0658",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0685",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0712",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0740",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0767",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0795",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0822",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0849",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0877",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0904",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0932",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0959",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.0986",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1014",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1041",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1068",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1096",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1123",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1151",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1178",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1205",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1233",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1260",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1288",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1315",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1342",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1370",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1397",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1425",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1452",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1479",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1507",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1534",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1562",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1589",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1616",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
"2011.1644",3382.02946507121,2027.12216193821,4736.9367682042,1309.35710137646,5454.70182876596
