"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"314.0000",5114.62506236108,4527.33497251645,5701.91515220572,4216.44237855809,6012.80774616408
"314.1429",5440.61386246602,4625.47515090779,6255.75257402426,4193.96678246375,6687.2609424683
"314.2857",5488.88567936014,4586.53219120206,6391.23916751822,4108.85510886775,6868.91624985253
"314.4286",5336.9710734955,4399.72636383398,6274.21578315702,3903.57898454226,6770.36316244874
"314.5714",5110.26669366246,4152.45158896214,6068.08179836277,3645.41490031045,6575.11848701446
"314.7143",5109.51631623113,4132.98671731011,6086.04591515215,3616.04317384594,6602.98945861631
"314.8571",5163.44583940294,4166.65251667012,6160.23916213577,3638.98200578723,6687.90967301866
"315.0000",5170.83206156121,4152.25275015636,6189.41137296606,3613.04943351476,6728.61468960766
"315.1429",5349.64898802075,4308.75338674887,6390.54458929262,3757.73653985321,6941.56143618828
"315.2857",5385.75143960516,4322.77111934801,6448.73175986232,3760.06332841822,7011.43955079211
"315.4286",5209.05179704844,4124.51763618747,6293.5859579094,3550.39993126296,6867.70366283392
"315.5714",5225.57150221826,4120.02834015814,6331.11466427839,3534.78914179754,6916.35386263899
"315.7143",5136.27680642119,4010.1909143915,6262.36269845088,3414.07705167395,6858.47656116842
"315.8571",5344.3168461087,4198.08068129428,6490.55301092312,3591.29990850394,7097.33378371346
"316.0000",5496.66793022776,4330.62874988071,6662.70711057482,3713.36489390269,7279.97096655283
"316.1429",5625.56451548004,4440.04591208826,6811.08311887182,3812.47027243825,7438.65875852183
"316.2857",5639.81140717205,4435.12303813324,6844.49977621085,3797.39953753575,7482.22327680835
"316.4286",5678.31511729979,4454.75510980953,6901.87512479006,3807.04156726876,7549.58866733083
"316.5714",5612.21028843585,4370.06504793861,6854.35552893309,3712.51307733857,7511.90749953313
"316.7143",5685.96454674921,4425.50844636168,6946.42064713674,3758.26329205679,7613.66580144162
"316.8571",5784.76793685211,4506.26355573291,7063.27231797131,3829.46421873334,7740.07165497089
"317.0000",5659.30529200177,4363.00406798777,6955.60651601577,3676.78365144418,7641.82693255936
"317.1429",5589.50927024444,4275.65229063711,6903.36624985177,3580.13841845774,7598.88012203115
"317.2857",5458.42760481467,4127.24636194764,6789.6088476817,3422.56157877153,7494.2936308578
"317.4286",5578.94399338401,4230.66104794317,6927.22693882485,3516.92317028069,7640.96481648733
"317.5714",5614.38102807755,4249.21058532244,6979.55147083265,3526.53300658841,7702.22904956668
"317.7143",5615.26885222567,4233.41727300935,6997.12043144199,3501.90923404063,7728.62847041071
"317.8571",5504.92439777344,4106.59066231614,6903.25813323074,3366.35749687859,7643.49129866829
"318.0000",5567.92220823093,4153.29834278818,6982.54607367367,3404.44170344111,7731.40271302075
"318.1429",5576.19170292041,4145.46317422766,7006.92023161315,3388.0812411302,7764.30216471061
"318.2857",5791.80730984771,4345.15339001445,7238.46122968097,3579.34106408882,8004.27355560659
"318.4286",5638.96121141881,4176.55531544753,7101.36710739009,3402.40439705082,7875.5180257868
"318.5714",5492.30454907248,4014.31454721871,6970.29455092625,3231.91390149626,7752.6951966487
"318.7143",5466.0248114848,3972.61331869711,6959.43630427249,3182.0490288028,7750.0005941668
"318.8571",5484.39018777521,3975.71483233808,6993.06554321234,3177.07034164528,7791.71003390515
"319.0000",5594.01169868227,4070.22537198122,7117.79802538333,3263.58161630046,7924.44178106409
"319.1429",5500.7769738654,3962.02806297379,7039.52588475702,3147.46359367677,7854.09035405404
"319.2857",5367.70409496,3814.13669954853,6921.27149037148,2991.72779839309,7743.68039152692
"319.4286",5398.49907685738,3830.25321176071,6966.74494195404,3000.07399812311,7796.92415559164
"319.5714",5366.41040132852,3783.62218596387,6949.19861669318,2945.74471711093,7787.07608554612
"319.7143",5407.96079699429,3810.76263270729,7005.1589612813,2965.25699767763,7850.66459631096
"319.8571",5545.94210177217,3934.46283808083,7157.4213654635,3081.3972456891,8010.48695785523
"320.0000",5433.25123928817,3807.61632990255,7058.88614867379,2947.05719133126,7919.44528724508
"320.1429",5403.92751682749,3764.25916623965,7043.59586741533,2896.27117263919,7911.58386101579
"320.2857",5485.44289929028,3831.86020065505,7139.02559792551,2956.5063961334,8014.37940244717
"320.4286",5407.23785054824,3739.85691550909,7074.61878558739,2857.19876585741,7957.27693523907
"320.5714",5412.39994182917,3731.33402288422,7093.46586077413,2841.43148035358,7983.36840330477
"320.7143",5448.99117855007,3754.35078450051,7143.63157259963,2857.26234891656,8040.72000818358
"320.8571",5448.80092948566,3740.69393446145,7156.90792450987,2836.47671093913,8061.1251480322
"321.0000",5599.96015279223,3878.4918993072,7321.42840627727,2967.20165280481,8232.71865277966
"321.1429",5465.04819958598,3730.3215960363,7199.77480313567,2812.01280296811,8118.08359620386
"321.2857",5285.6433318505,3537.75894483595,7033.52771886505,2612.4848419441,7958.8018217569
"321.4286",5195.3511258831,3434.40726769925,6956.29498406695,2502.21989836931,7888.48235339689
"321.5714",5312.58259937048,3538.67541099178,7086.48978774918,2599.62566918135,8025.53952955962
"321.7143",5540.14584694277,3753.36937679106,7326.92231709449,2807.50704872729,8272.78464515826
"321.8571",5495.67829895546,3696.1245777251,7295.23202018581,2743.49838151477,8247.85821639615
"322.0000",5372.73935353587,3560.49846532586,7184.98024174588,2601.15608861036,8144.32261846138
"322.1429",5412.23505930669,3587.39520929069,7237.07490932269,2621.38334506847,8203.08677354492
"322.2857",5414.65756406014,3577.30514290828,7252.009985212,2604.66952363759,8224.64560448268
