"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"6.000000",5389.61412546575,4719.76894127883,6059.45930965267,4365.17432021605,6414.05393071545
"6.002740",5078.06668650357,4192.74659515323,5963.3867778539,3724.08644841694,6432.04692459019
"6.005479",5100.99296788813,4186.55387756303,6015.43205821323,3702.47906389931,6499.50687187695
"6.008219",5124.79481563753,4182.13579155692,6067.45383971815,3683.12224734369,6566.46738393137
"6.010959",5149.43632698442,4179.37796716959,6119.49468679925,3665.8600907593,6633.01256320954
"6.013699",5174.86878638841,4178.16401203812,6171.5735607387,3650.54037583745,6699.19719693936
"6.016438",5201.0308272103,4178.37370335173,6223.68795106888,3637.01172319216,6765.04993122845
"6.019178",5227.84871667202,4179.88174260046,6275.81569074359,3625.12153706388,6830.57589628016
"6.021918",5255.23676257982,4182.55695736731,6327.91656779233,3614.71456925979,6895.75895589985
"6.024658",5283.09783908374,4186.26186671742,6379.93381145006,3605.63197615344,6960.56370201404
"6.027397",5311.32402755947,4190.85254820679,6431.79550691216,3597.71077603,7024.93727908895
"6.030137",5339.79736754314,4196.17875899884,6483.41597608745,3590.78363679706,7088.81109828923
"6.032877",5368.390711536,4202.08427342686,6534.69714964515,3584.67893973562,7152.10248333639
"6.035616",5396.96867643691,4208.40740610169,6585.52994677212,3579.2210758663,7214.71627700751
"6.038356",5425.38868336613,4214.98169433026,6635.795672402,3574.23093916897,7276.54642756328
"6.041096",5453.50207672532,4221.63671684506,6685.36743660557,3569.52658632688,7337.47756712375
"6.043836",5481.15531250507,4228.1990280965,6734.11159691364,3564.92403655142,7397.38658845872
"6.046575",5508.19120511202,4234.49318893826,6781.88922128577,3560.23818784906,7456.14422237498
"6.049315",5534.45022135002,4240.34287565918,6828.55756704086,3555.28382814686,7513.61661455318
"6.052055",5559.77180966185,4245.5720501363,6873.9715691874,3549.87672122919,7569.66689809451
"6.054795",5583.99575232408,4250.00617451508,6917.98533013308,3543.83474862201,7624.15675602615
"6.057534",5606.96352799438,4253.47345434439,6960.45360164437,3536.97908951482,7676.94796647395
"6.060274",5628.5196718396,4255.80609456462,7001.23324911459,3529.13542162039,7727.90392205881
"6.063014",5648.513120428,4256.84155321068,7040.18468764532,3520.13512660515,7776.89111425086
"6.065753",5666.79852865035,4256.423778179,7077.17327912171,3509.81648442506,7823.78057287565
"6.068493",5683.23754614228,4254.40441294122,7112.07067934334,3498.02584160854,7868.44925067602
"6.071233",5697.70004101259,4250.64395768369,7144.75612434149,3484.61873926334,7910.78134276184
"6.073973",5710.06525913669,4245.01287302034,7175.11764525304,3469.46098736689,7950.6695309065
"6.076712",5720.22290784623,4237.39261417428,7203.05320151817,3452.4296727399,7988.01614295255
"6.079452",5728.07415353094,4227.67658435227,7228.47172270961,3433.41408900833,8022.73421805356
"6.082192",5733.5325234597,4215.77099694664,7251.29404997277,3412.3165778321,8054.74846908731
"6.084932",5736.52470301695,4201.59563718709,7271.4537688468,3389.05327171969,8083.9961343142
"6.087671",5736.99122053058,4185.08451492765,7288.89792613351,3363.55472985346,8110.42771120769
"6.090411",5734.88701292744,4166.18640138254,7303.58762447234,3335.76645951654,8134.00756633834
"6.093151",5730.18186658275,4144.86524381385,7315.49848935164,3305.64931693126,8154.71441623424
"6.095890",5722.8607289193,4121.10045341194,7324.62100442666,3273.17978258354,8172.54167525506
"6.098630",5712.9238875492,4094.88706288808,7330.96071221032,3238.35010740819,8187.49766769022
"6.101370",5700.38701502262,4066.23575160621,7334.53827843904,3201.16832753601,8199.60570250924
"6.104110",5685.28107854258,4035.17273740511,7335.38941968006,3161.65814664423,8208.90401044094
"6.106849",5667.65211530879,4001.73953559234,7333.56469502524,3119.85868629533,8215.44554432225
"6.109589",5647.56087545409,3965.99258691404,7329.12916399414,3075.82410598388,8219.2976449243
"6.112329",5625.08233582114,3928.00275760756,7322.16191403471,3029.62309592427,8220.541575718
"6.115068",5600.30508908175,3887.85471591598,7312.75546224752,2981.33824689246,8219.27193127104
"6.117808",5573.33061391394,3845.64619066946,7301.01503715842,2931.06530266909,8215.59592515879
"6.120548",5544.27243311029,3801.48711871049,7287.0577475101,2878.91230180931,8209.63256441127
"6.123288",5513.25516758379,3755.49868904256,7271.01164612502,2824.99861657351,8201.51171859407
"6.126027",5480.41349525277,3707.81229260743,7253.0146978981,2769.45389788312,8191.37309262242
"6.128767",5445.89102471485,3658.56838753216,7233.21366189755,2712.41693610682,8179.36511332289
"6.131507",5409.83909445125,3607.9152905262,7211.76289837631,2654.03444832474,8165.64374057776
"6.134247",5372.41550902876,3556.00790584115,7188.82311221637,2594.45980345435,8150.37121460316
"6.136986",5333.78322438045,3503.00640382482,7164.56004493608,2533.8516972437,8133.71475151719
"6.139726",5294.10899474052,3449.07486160103,7139.14312788001,2472.37278963997,8115.84519984106
"6.142466",5253.56199417877,3394.37987878076,7112.74410957678,2410.18831741798,8096.93567093956
"6.145205",5212.31242592289,3339.08918135703,7085.53567048875,2347.46469520193,8077.16015664386
"6.147945",5170.5301327682,3283.37022705065,7057.69003848575,2284.36811813043,8056.69214740598
"6.150685",5128.38322185449,3227.38882535725,7029.37761835173,2221.06317939977,8035.70326430921
"6.153425",5086.03671693772,3171.30778539678,7000.76564847867,2157.71151577242,8014.36191810303
"6.156164",5043.65125100218,3115.2856043869,6972.01689761745,2094.47049385948,7992.83200814487
"6.158904",5001.38181164857,3059.47520915401,6943.28841414314,2031.49194957933,7971.27167371782
"6.161644",4959.37655116041,3004.02276256409,6914.73033975673,1968.92099266391,7949.83210965691
