"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2010.9863",6383.66757250145,5806.94420243172,6960.39094257118,5501.64529203326,7265.68985296964
"2010.9890",6609.07279539149,5793.50364138792,7424.64194939507,5361.76741047745,7856.37818030554
"2010.9918",6893.03304381386,5894.18558582059,7891.88050180713,5365.4276814153,8420.63840621241
"2010.9945",6281.95122071746,5128.59115390522,7435.3112875297,4518.03921519619,8045.86322623873
"2010.9973",5402.53543957313,4113.04614411751,6692.02473502876,3430.43174472965,7374.63913441662
"2011.0000",5427.47482983454,4014.9147983767,6840.03486129238,3267.15068674661,7587.79897292246
"2011.0027",4789.42900408879,3263.69343006239,6315.1645781152,2456.0178051781,7122.84020299949
"2011.0055",5447.60455360981,3816.5275348191,7078.68157240053,2953.0875175495,7942.12158967012
"2011.0082",5824.59488281901,4094.57885959705,7554.61090604097,3178.7636971255,8470.42606851253
"2011.0110",5958.02513707507,4134.43016011823,7781.62011403192,3169.07729188657,8746.97298226358
"2011.0137",5516.65089471232,3604.05008969321,7429.25169973144,2591.58038219902,8441.72140722563
"2011.0164",5223.67874261325,3226.03386958469,7221.3236156418,2168.54455191587,8278.81293331062
"2011.0192",5611.87013069524,3532.65676066445,7691.08350072603,2431.98768897489,8791.75257241559
"2011.0219",5857.67882521226,3699.97832757773,8015.37932284679,2557.76068029494,9157.59697012959
"2011.0247",6229.58782645059,3996.15669098439,8463.01896191678,2813.84966565022,9645.32598725096
"2011.0274",6436.75314798701,4130.07635306161,8743.42994291242,2908.99541776501,9964.51087820902
"2011.0301",6633.6022213257,4255.93507985596,9011.26936279543,2997.27412513658,10269.9303175148
"2011.0329",6376.29473775725,3929.69623473261,8822.89324078188,2634.54522140428,10118.0442541102
"2011.0356",6138.4244444138,3624.7841689607,8652.06471986689,2294.14338508412,9982.70550374347
"2011.0384",6777.84139647473,4198.90156899573,9356.78122395373,2833.69329034153,10721.9895026079
"2011.0411",6198.39463620221,3555.76832263933,8841.02094976509,2156.84645473667,10239.9428176678
"2011.0438",6194.92823590572,3490.11455793963,8899.74191387181,2058.27268786928,10331.5837839422
"2011.0466",6055.44877183827,3289.84572152719,8821.05182214936,1825.82390158159,10285.073642095
"2011.0493",6197.02285652161,3371.93817969023,9022.107533353,1876.42868869155,10517.6170243517
"2011.0521",6641.67365777185,3758.33416498835,9525.01315055535,2231.98643722203,11051.3608783217
"2011.0548",6118.31954477379,3177.87913047825,9058.75995906933,1621.30400076311,10615.3350887845
"2011.0575",6312.15848708865,3315.70507857383,9308.61189560346,1729.47846083033,10894.838513347
"2011.0603",5551.89258428737,2500.4541974315,8603.33097114324,885.120290392991,10218.6648781817
"2011.0630",5830.45899427936,2725.00903845088,8935.90895010783,1081.0831339106,10579.8348546481
"2011.0658",6586.80826441387,3428.27021216049,9745.34631666725,1756.24116695557,11417.3753618722
"2011.0685",6836.45326411772,3625.70478021087,10047.2017480246,1926.03720200649,11746.8693262289
"2011.0712",6265.27560912311,3003.15221686959,9527.39900137663,1276.28840498706,11254.2628132592
"2011.0740",5553.90522127506,2241.20357070869,8866.60687184142,487.565246201684,10620.2451963484
"2011.0767",5671.78873838923,2309.26953025931,9034.30794651915,529.259383779797,10814.3180929987
"2011.0795",5668.22710906317,2256.61771987159,9079.83649825476,450.620801280554,10885.8334168458
"2011.0822",6579.2564893387,3119.25333561214,10039.2596430652,1287.63830554971,11870.8746731277
"2011.0849",5920.73909687767,2413.00977106372,9428.46842269162,556.130031624224,11285.3481621311
"2011.0877",6303.59487292947,2748.78007851996,9858.40966733898,866.974797644389,11740.2149482145
"2011.0904",6022.32081976295,2421.03612927675,9623.60551024914,514.631171372619,11530.0104681533
"2011.0932",5552.31763950117,1905.15509564495,9199.48018335738,-25.5361308104248,11130.1714098128
"2011.0959",6056.96307600867,2364.49265355634,9749.433498461,409.816884969117,11704.1092670482
"2011.0986",5296.14236254746,1558.91330613912,9033.3714189558,-419.456252030519,11011.7409771254
"2011.1014",5409.98681183775,1628.52886291907,9191.44476075644,-373.254056651039,11193.2276803265
"2011.1041",5749.76667012415,1924.59119456517,9574.94214568312,-100.334385665595,11599.8677259139
"2011.1068",6100.37253342278,2231.97355992026,9968.7715069253,184.166842023475,12016.5782248221
"2011.1096",5899.57088545213,1988.42606359077,9810.71570731348,-82.0089395555419,11881.1507104598
"2011.1123",5601.93023457742,1648.50172036973,9555.35874878511,-444.316917411326,11648.1773865662
"2011.1151",5866.90062217459,1871.63589798823,9862.16534636095,-243.329491571145,11977.1307359203
"2011.1178",5762.80987202613,1726.14250702001,9799.47723703225,-410.740116669071,11936.3598607213
"2011.1205",5693.25122810463,1615.6015846111,9770.90087159816,-542.975746830757,11929.47820304
"2011.1233",5718.27436784836,1600.05025854342,9836.4984771533,-580.005897661026,12016.5546333578
"2011.1260",5800.69847400022,1642.2957741841,9959.10117381634,-559.029643057794,12160.4265910582
"2011.1288",5607.22683390798,1409.03005276307,9805.42361505289,-813.361078650461,12027.8147464664
"2011.1315",5585.74049041301,1348.12330470675,9823.35767611926,-895.135728346672,12066.6167091727
"2011.1342",5862.71489010792,1586.04064345661,10139.3891367592,-677.893948744778,12403.3237289606
"2011.1370",5287.24305234232,971.865222841399,9602.62088184324,-1312.5578085073,11887.0439131919
"2011.1397",5968.4059419791,1614.66858073123,10322.143303227,-690.060760112651,12626.8726440708
"2011.1425",5679.36147057037,1287.59961339926,10071.1233277415,-1037.25867968808,12395.9816208288
"2011.1452",5837.82811838826,1408.36817281017,10267.2880639663,-936.446282818934,12612.1025195954
"2011.1479",5483.14032288413,1016.30043221666,9949.98021355159,-1348.30177105507,12314.5824168233
