"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2010.9863",5144.60709184065,4307.28166845918,6144.69381758455,3920.6919890222,6750.55662332724
"2010.9890",5046.58112155473,3963.1224091687,6426.21657076974,3487.18077883199,7303.24956922049
"2010.9918",4835.8628849891,3735.00075374402,6261.16792490154,3257.64440609479,7178.60091314389
"2010.9945",4767.16560547888,3663.21429637963,6203.77681000531,3186.4192965058,7132.0258021853
"2010.9973",4759.09758135489,3650.37510351057,6204.54174025454,3172.19811078298,7139.76970959454
"2011.0000",4708.70523875871,3607.63641730783,6145.79705468052,3133.17975912677,7076.40928544921
"2011.0027",4777.66827922799,3656.83532434128,6242.01106791407,3174.23694076529,7190.97625589132
"2011.0055",4945.98052874911,3782.8751205938,6466.67062496497,3282.36325208685,7452.69498271893
"2011.0082",4935.88254819833,3773.38318303087,6456.49260786679,3273.3150873724,7442.81096993008
"2011.0110",4782.1467907957,3654.78807427958,6257.2216043882,3169.94683130966,7214.21340068238
"2011.0137",4737.76529021794,3620.16731800146,6200.35230490034,3139.59660642762,7149.38002891663
"2011.0164",4758.03676957348,3635.13571230091,6227.77455563325,3152.33870426878,7181.54454099652
"2011.0192",4745.20662011722,3624.91413191013,6211.69973504162,3143.28219420297,7163.44652998691
"2011.0219",4843.1118858779,3699.34729632006,6340.47537957603,3207.66144206035,7312.32722963472
"2011.0247",5030.87314633169,3842.44984163289,6586.82986694278,3331.59877535953,7596.77342810789
"2011.0274",5029.57009388065,3841.17395265466,6585.60492254575,3330.36370272186,7595.654413675
"2011.0301",4876.85947572813,3724.29529690363,6386.07908478111,3228.91280296592,7365.78936969006
"2011.0329",4833.05191647074,3690.60951745858,6329.11140004384,3199.60149358461,7300.32436124524
"2011.0356",4853.49174792723,3705.99846068253,6356.25441844285,3212.84241052301,7331.86216508978
"2011.0384",4838.54911578544,3694.37802702451,6337.0464433909,3202.67164095404,7309.92660191929
"2011.0411",4934.97493276223,3767.79520491947,6463.69011072107,3266.22237797537,7456.22959898123
"2011.0438",5121.43716114219,3909.95001031368,6708.26800551288,3389.35843873269,7738.58069941463
"2011.0466",5114.18586149964,3904.20906546766,6699.12160362428,3384.2878238301,7728.24425971671
"2011.0493",4952.32371008568,3780.44260551843,6487.43936752532,3276.91166258176,7484.25248802925
"2011.0521",4900.60934389769,3740.77011127735,6420.03001762028,3242.43361806905,7406.69032319523
"2011.0548",4913.44631195672,3750.37578710601,6437.17852353251,3250.67103005974,7426.67673135492
"2011.0575",4889.88710456129,3732.20199817091,6406.641651847,3234.83095496963,7391.64641539446
"2011.0603",4978.2089922974,3799.42167188083,6522.68885888628,3293.004554146,7525.73681019918
"2011.0630",5156.33473959776,3935.1741985954,6756.41242342353,3410.57347280121,7795.60637852104
"2011.0658",5138.62445903668,3921.46284755256,6733.54181486474,3398.60036726439,7769.42293729691
"2011.0685",4965.50746239111,3789.15949238484,6507.02234191203,3283.84950930747,7508.2570690074
"2011.0712",4902.92137532528,3741.21181744614,6425.33041040071,3242.20951420433,7414.19291516575
"2011.0740",4904.67299141915,3742.36176228514,6427.9464693141,3243.12045768676,7417.4073919741
"2011.0767",4869.82323045329,3715.58566123999,6382.59105927891,3219.83147154849,7365.26453467024
"2011.0795",4945.97972359133,3773.50611771785,6482.72363614846,3269.93874009531,7481.00838558964
"2011.0822",5110.48730972909,3898.82799516672,6698.66801407238,3378.45030691221,7730.40390977677
"2011.0849",5080.30913685167,3875.61643409465,6659.43512376543,3358.25037279739,7685.32609227779
"2011.0877",4896.79524248867,3735.43446586753,6419.19646902542,3236.69694259243,7408.27237017457
"2011.0904",4822.74509824824,3678.76548067803,6322.43559146808,3187.51105049409,7296.79265103116
"2011.0932",4812.04415519859,3670.42390455204,6308.71461633067,3180.20131051691,7281.14502449924
"2011.0959",4765.46298593218,3634.71672011721,6247.94979109404,3149.18198512456,7211.19977518095
"2011.0986",4827.38498448497,3681.76882836528,6329.43947925427,3189.86753745846,7305.4387527168
"2011.1014",4974.94301074143,3794.1297863158,6523.21862917388,3287.13437752216,7529.28684321118
"2011.1041",4932.68888304884,3761.72574923319,6468.12217805251,3258.97826965968,7465.88099374706
"2011.1068",4742.18008336202,3616.26637228592,6218.61352215408,3132.87893183109,7178.06769145628
"2011.1096",4658.44301175325,3552.23919530356,6109.10045673013,3077.33167916076,7051.83824498292
"2011.1123",4636.25565989269,3535.15150862015,6080.29450819468,3062.45098927829,7018.76464480524
"2011.1151",4579.81617004466,3491.94943948649,6006.56302767298,3024.94913018354,6933.82838885953
"2011.1178",4627.82443724366,3528.38747327054,6069.81383135292,3056.43768480318,7007.01867087117
"2011.1205",4757.67399364664,3627.2202862753,6240.41281123216,3141.97367259139,7204.13573414636
"2011.1233",4706.02466434762,3587.67528044342,6172.95570526954,3107.64198205897,7126.43757336884
"2011.1260",4513.74784634675,3440.92744460093,5921.02593624012,2980.45386794448,6835.76697437323
